path,name,parent_path,node_type,file_type,category,purpose,defines,execution_role,used_by,depends_on,inputs,outputs,side_effects,env_config_requirements,related_files,doc_role,doc_content_summary,doc_purpose,doc_discusses,doc_references,doc_time_horizon,doc_style,doc_apparent_overlap,doc_status_signals,doc_decision_support_notes,confidence,excluded_reason
fight-caves-RL,fight-caves-RL,,directory,Directory,unknown,"Kotlin/Gradle simulator and oracle-adjacent repository used for Fight Caves mechanics, headed/oracle runtime seams, headless execution, and parity infrastructure.",Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/.dockerignore; fight-caves-RL/.gitignore; fight-caves-RL/CODE_OF_CONDUCT.md,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.dockerignore,.dockerignore,fight-caves-RL,file,File,unknown,Repository metadata or ignore configuration file.,Unknown,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.github,.github,fight-caves-RL,directory,Directory,tooling,GitHub metadata directory containing issue templates and workflow definitions.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/.github/codecov.yml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.github/ISSUE_TEMPLATE,ISSUE_TEMPLATE,fight-caves-RL/.github,directory,Directory,tooling,Contains files for fight-caves-RL/.github / ISSUE_TEMPLATE.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/.github/ISSUE_TEMPLATE/bug_report.md; fight-caves-RL/.github/ISSUE_TEMPLATE/feature_request.md,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.github/ISSUE_TEMPLATE/bug_report.md,bug_report.md,fight-caves-RL/.github/ISSUE_TEMPLATE,file,Markdown doc,docs,Markdown document titled bug_report.md.,Not applicable,documentation only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,documentation,bug_report.md,Markdown document titled bug_report.md.,bug_report.md,Not applicable,Not applicable,markdown narrative,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.github/ISSUE_TEMPLATE/feature_request.md,feature_request.md,fight-caves-RL/.github/ISSUE_TEMPLATE,file,Markdown doc,docs,Markdown document titled feature_request.md.,Not applicable,documentation only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,documentation,feature_request.md,Markdown document titled feature_request.md.,feature_request.md,Not applicable,Not applicable,markdown narrative,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.github/codecov.yml,codecov.yml,fight-caves-RL/.github,file,YAML,tooling,YML configuration or data file for the enclosing module.,Unknown,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.github/workflows,workflows,fight-caves-RL/.github,directory,Directory,tooling,Contains files for fight-caves-RL/.github / workflows.,Not applicable,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,fight-caves-RL/.github/workflows/create_release.yml; fight-caves-RL/.github/workflows/phase0_native_linux_packet.yml; fight-caves-RL/.github/workflows/phase0_native_linux_pre_phase1_baseline.yml,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.github/workflows/create_release.yml,create_release.yml,fight-caves-RL/.github/workflows,file,YAML,tooling,YML configuration or data file for the enclosing module.,Unknown,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
fight-caves-RL/.github/workflows/phase0_native_linux_packet.yml,phase0_native_linux_packet.yml,fight-caves-RL/.github/workflows,file,YAML,tooling,YML configuration or data file for the enclosing module.,Unknown,support utility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Confirmed,
