path,type,category,purpose,confidence
RL/.env.example,File,config,"Example environment-variable configuration for local setup.",Confirmed
RL/.github,Directory,tooling,"GitHub workflow and repository metadata for RL automation.",Confirmed
RL/.github/workflows,Directory,tooling,"GitHub Actions workflow definitions for packet generation, benchmark gates, and checks.",Confirmed
RL/.github/workflows/acceptance.yml,File,tooling,"GitHub Actions workflow definition for RL checks or packet generation.",Confirmed
RL/.github/workflows/benchmarks.yml,File,tooling,"GitHub Actions workflow definition for RL checks or packet generation.",Confirmed
RL/.github/workflows/ci.yml,File,tooling,"GitHub Actions workflow definition for RL checks or packet generation.",Confirmed
RL/.github/workflows/phase0_native_linux.yml,File,tooling,"GitHub Actions workflow definition for RL checks or packet generation.",Confirmed
RL/.gitignore,File,config,"Git ignore rules for the RL repository.",Confirmed
RL/README.md,File,docs,"Project overview and setup guide for the RL module.",Confirmed
RL/RLplan.md,File,docs,"Historical RL planning document retained in the workspace.",Confirmed
RL/RLspec.md,File,docs,"Primary RL module specification and current contract reference.",Confirmed
RL/changelog.md,File,docs,"Change log and implementation history for the RL module.",Confirmed
RL/configs,Directory,config,"Configuration tree for training, reward, benchmark, eval, logging, and curriculum presets.",Confirmed
RL/configs/benchmark,Directory,config,"Benchmark configuration presets for env, bridge, subprocess, and training measurement.",Confirmed
RL/configs/benchmark/bridge_1env_v0.yaml,File,config,"Benchmark preset configuration consumed by RL benchmark entrypoints.",Confirmed
RL/configs/benchmark/bridge_64env_v0.yaml,File,config,"Benchmark preset configuration consumed by RL benchmark entrypoints.",Confirmed
RL/configs/benchmark/fast_env_v2.yaml,File,config,"Benchmark preset configuration consumed by RL benchmark entrypoints.",Confirmed
RL/configs/benchmark/fast_train_v2.yaml,File,config,"Benchmark preset configuration consumed by RL benchmark entrypoints.",Confirmed
RL/configs/benchmark/official_profile_v0.yaml,File,config,"Benchmark preset configuration consumed by RL benchmark entrypoints.",Confirmed
RL/configs/benchmark/train_1024env_v0.yaml,File,config,"Benchmark preset configuration consumed by RL benchmark entrypoints.",Confirmed
RL/configs/benchmark/vecenv_256env_v0.yaml,File,config,"Benchmark preset configuration consumed by RL benchmark entrypoints.",Confirmed
RL/configs/curriculum,Directory,config,"Curriculum configuration presets for staged training progression.",Confirmed
RL/configs/curriculum/curriculum_disabled_v0.yaml,File,config,"Curriculum preset configuration for staged training.",Confirmed
RL/configs/curriculum/curriculum_wave_progression_v0.yaml,File,config,"Curriculum preset configuration for staged training.",Confirmed
RL/configs/curriculum/curriculum_wave_progression_v2.yaml,File,config,"Curriculum preset configuration for staged training.",Confirmed
RL/configs/eval,Directory,config,"Evaluation and parity configuration presets.",Confirmed
RL/configs/eval/eval_seedpack_v0.yaml,File,config,"Evaluation or parity preset configuration.",Confirmed
RL/configs/eval/parity_canary_v0.yaml,File,config,"Evaluation or parity preset configuration.",Confirmed
RL/configs/eval/parity_fast_v2.yaml,File,config,"Evaluation or parity preset configuration.",Confirmed
RL/configs/eval/replay_eval_v0.yaml,File,config,"Evaluation or parity preset configuration.",Confirmed
RL/configs/logging,Directory,config,"Logging configuration presets for RL runs and reports.",Confirmed
RL/configs/logging/headless_quiet_logback.xml,File,config,"Logging preset configuration for RL runs.",Confirmed
RL/configs/reward,Directory,config,"Reward-weight configuration presets for sparse and shaped training.",Confirmed
RL/configs/reward/reward_shaped_v0.yaml,File,config,"Reward preset configuration for sparse or shaped training.",Confirmed
RL/configs/reward/reward_shaped_v2.yaml,File,config,"Reward preset configuration for sparse or shaped training.",Confirmed
RL/configs/reward/reward_sparse_v0.yaml,File,config,"Reward preset configuration for sparse or shaped training.",Confirmed
RL/configs/reward/reward_sparse_v2.yaml,File,config,"Reward preset configuration for sparse or shaped training.",Confirmed
RL/configs/sweep,Directory,config,"Sweep or experiment-grid configuration presets.",Confirmed
RL/configs/train,Directory,config,"Training run configuration presets, including smoke and fast-backend profiles.",Confirmed
RL/configs/train/smoke_fast_v2.yaml,File,config,"Training preset configuration for RL runs.",Confirmed
RL/configs/train/smoke_ppo_v0.yaml,File,config,"Training preset configuration for RL runs.",Confirmed
RL/configs/train/train_baseline_v0.yaml,File,config,"Training preset configuration for RL runs.",Confirmed
RL/configs/train/train_fast_v2.yaml,File,config,"Training preset configuration for RL runs.",Confirmed
RL/docs,Directory,docs,"Active RL design, contract, benchmark, and integration reference documentation.",Confirmed
RL/docs/action_mapping.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/archive,Directory,docs,"Archived RL documentation retained for historical reference.",Confirmed
RL/docs/archive/performance_plan.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/archive/phase1_decision_gate.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/archive/phase2_transport_gate.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/benchmark_matrix.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/bridge_contract.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/eval_and_replay.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/flat_observation_ingestion.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/hotpath_map.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/logging_overhead_report.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/mvp_acceptance.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/observation_action_cost_report.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/observation_mapping.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/parity_canaries.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/parity_safe_optimization_rules.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/performance_decomposition_report.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/phase2_blocker_diagnosis.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/production_fast_trainer_benchmark.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/production_trainer_prototype_scope.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/python_profiler_report.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/reward_configs.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/rl_integration_contract.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/run_manifest.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/runtime_topology.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/transport_and_copy_ledger.md,File,docs,"RL reference or planning document.",Confirmed
RL/docs/wandb_logging_contract.md,File,docs,"RL reference or planning document.",Confirmed
RL/fight_caves_rl,Directory,training,"Primary RL Python package for Fight Caves training, bridge, environment, and evaluation logic.",Confirmed
RL/fight_caves_rl/__init__.py,File,training,"RL package file.",Confirmed
RL/fight_caves_rl/benchmarks,Directory,benchmarks,"Benchmark harnesses, packet helpers, and measurement utilities.",Confirmed
RL/fight_caves_rl/benchmarks/__init__.py,File,benchmarks,"Benchmark implementation file for packets, measurement, or attribution.",Confirmed
RL/fight_caves_rl/benchmarks/bridge_bench.py,File,benchmarks,"Benchmark implementation file for packets, measurement, or attribution.",Confirmed
RL/fight_caves_rl/benchmarks/common.py,File,benchmarks,"Benchmark implementation file for packets, measurement, or attribution.",Confirmed
RL/fight_caves_rl/benchmarks/env_bench.py,File,benchmarks,"Benchmark implementation file for packets, measurement, or attribution.",Confirmed
RL/fight_caves_rl/benchmarks/instrumentation.py,File,benchmarks,"Benchmark implementation file for packets, measurement, or attribution.",Confirmed
RL/fight_caves_rl/benchmarks/phase0_packet.py,File,benchmarks,"Benchmark implementation file for packets, measurement, or attribution.",Confirmed
